order_id,order_date,customer_id,campaign_phase,customer_type,acquisition_channel,primary_product,footwear_revenue,adjacent_product_revenue,total_order_revenue,units,email_opt_in,sms_opt_in,returned
ORD0000016,2026-01-05,C003505,Pre-campaign,New,Direct,Sense Ride,142.98,0.0,142.98,1,True,True,False
ORD0000017,2026-01-05,C001203,Pre-campaign,Existing,Affiliate,Trail Apparel,0.0,63.5,63.5,1,False,False,False
ORD0000018,2026-01-05,C003506,Pre-campaign,New,Email,Speedcross,125.44,62.51,187.95,2,False,True,False
ORD0000019,2026-01-05,C001185,Pre-campaign,Existing,Email,Trail Accessories,0.0,61.84,61.84,1,True,False,False
ORD0000020,2026-01-05,C002272,Pre-campaign,Existing,Direct,Genesis,164.58,0.0,164.58,1,True,False,False
ORD0000021,2026-01-05,C003507,Pre-campaign,New,Paid Social,Speedcross,160.34,0.0,160.34,1,True,False,False
ORD0000022,2026-01-05,C002702,Pre-campaign,Existing,Affiliate,Sense Ride,126.13,0.0,126.13,1,True,True,False
ORD0000023,2026-01-05,C000330,Pre-campaign,Existing,Direct,Trail Apparel,0.0,82.82,82.82,1,True,False,False
ORD0000024,2026-01-05,C003508,Pre-campaign,New,Paid Social,Speedcross,126.3,0.0,126.3,1,False,False,False
ORD0000025,2026-01-05,C001338,Pre-campaign,Existing,Direct,Genesis,165.18,0.0,165.18,1,False,True,False
ORD0000026,2026-01-05,C003509,Pre-campaign,New,Organic,Trail Apparel,0.0,71.95,71.95,1,True,False,False
ORD0000027,2026-01-05,C002533,Pre-campaign,Existing,Direct,Speedcross,148.06,0.0,148.06,1,True,False,False
ORD0000028,2026-01-05,C000679,Pre-campaign,Existing,Organic,Speedcross,140.77,49.73,190.49,2,False,False,False
ORD0000029,2026-01-05,C002486,Pre-campaign,Existing,Organic,Sense Ride,128.76,0.0,128.76,1,True,False,False
ORD0000030,2026-01-05,C003510,Pre-campaign,New,Paid Social,Genesis,163.42,0.0,163.42,1,False,False,False
ORD0000031,2026-01-05,C003511,Pre-campaign,New,Affiliate,Trail Apparel,0.0,69.31,69.31,1,True,False,False
ORD0000032,2026-01-05,C001848,Pre-campaign,Existing,Direct,Genesis,163.96,0.0,163.96,1,True,True,False
ORD0000033,2026-01-05,C002657,Pre-campaign,Existing,Direct,Speedcross,150.38,0.0,150.38,1,False,False,False
ORD0000034,2026-01-05,C001308,Pre-campaign,Existing,Affiliate,Speedcross,139.99,72.64,212.63,2,False,False,False
ORD0000035,2026-01-05,C003512,Pre-campaign,New,Email,Speedcross,142.59,0.0,142.59,1,True,True,False
ORD0000036,2026-01-05,C000522,Pre-campaign,Existing,Paid Search,Genesis,165.01,28.65,193.66,2,True,False,False
ORD0000037,2026-01-05,C002548,Pre-campaign,Existing,SMS,Speedcross,144.13,61.35,205.49,2,True,False,False
ORD0000038,2026-01-05,C000567,Pre-campaign,Existing,SMS,Sense Ride,136.72,48.42,185.14,2,True,False,False
ORD0000039,2026-01-05,C003234,Pre-campaign,Existing,Email,Speedcross,139.48,0.0,139.48,1,True,False,False
ORD0000040,2026-01-05,C002817,Pre-campaign,Existing,Email,Sense Ride,137.49,58.95,196.44,2,False,True,False
ORD0000041,2026-01-05,C002371,Pre-campaign,Existing,Paid Search,Sense Ride,0.0,0.0,0.0,1,True,False,True
ORD0000042,2026-01-05,C001617,Pre-campaign,Existing,Paid Search,Sense Ride,154.84,0.0,154.84,1,True,False,False
ORD0000043,2026-01-05,C003513,Pre-campaign,New,Paid Social,Genesis,175.21,0.0,175.21,1,False,True,False
ORD0000044,2026-01-05,C003514,Pre-campaign,New,Paid Social,Sense Ride,133.67,159.96,293.63,3,False,True,False
ORD0000045,2026-01-05,C003241,Pre-campaign,Existing,Email,Speedcross,163.5,0.0,163.5,1,False,False,False
ORD0000046,2026-01-05,C003515,Pre-campaign,New,Paid Social,Genesis,161.99,0.0,161.99,1,True,False,False
ORD0000047,2026-01-05,C000041,Pre-campaign,Existing,Paid Search,Trail Apparel,0.0,89.2,89.2,1,False,False,False
ORD0000048,2026-01-05,C001247,Pre-campaign,Existing,Direct,Sense Ride,121.03,0.0,121.03,1,True,False,False
ORD0000049,2026-01-05,C001562,Pre-campaign,Existing,Email,Genesis,181.88,0.0,181.88,1,False,True,False
ORD0000050,2026-01-05,C003516,Pre-campaign,New,Paid Social,Genesis,150.73,0.0,150.73,1,True,True,False
ORD0000051,2026-01-05,C002040,Pre-campaign,Existing,Organic,Genesis,154.29,0.0,154.29,1,True,True,False
ORD0000052,2026-01-05,C003517,Pre-campaign,New,Paid Search,Genesis,174.64,0.0,174.64,1,True,False,False
ORD0000053,2026-01-05,C003518,Pre-campaign,New,Organic,Sense Ride,0.0,0.0,0.0,1,True,True,True
ORD0000054,2026-01-05,C002974,Pre-campaign,Existing,SMS,Trail Apparel,0.0,90.02,90.02,1,True,False,False
ORD0000055,2026-01-05,C001454,Pre-campaign,Existing,Direct,Speedcross,142.98,102.14,245.12,2,True,False,False
ORD0000056,2026-01-05,C001008,Pre-campaign,Existing,Direct,Genesis,159.34,0.0,159.34,1,False,False,False
ORD0000057,2026-01-05,C001938,Pre-campaign,Existing,Affiliate,Genesis,147.61,0.0,147.61,1,True,False,False
ORD0000058,2026-01-05,C000200,Pre-campaign,Existing,Email,Trail Accessories,0.0,71.81,71.81,1,True,True,False
ORD0000059,2026-01-05,C001521,Pre-campaign,Existing,Direct,Sense Ride,145.49,0.0,145.49,1,False,True,False
ORD0000060,2026-01-05,C003519,Pre-campaign,New,Email,Speedcross,159.13,0.0,159.13,1,True,False,False
ORD0000061,2026-01-05,C003520,Pre-campaign,New,Paid Search,Speedcross,148.97,0.0,148.97,1,True,False,False
ORD0000062,2026-01-05,C001887,Pre-campaign,Existing,Organic,Sense Ride,137.65,0.0,137.65,1,False,False,False
ORD0000063,2026-01-05,C003179,Pre-campaign,Existing,Affiliate,Trail Accessories,0.0,54.15,54.15,1,False,False,False
ORD0000064,2026-01-05,C002125,Pre-campaign,Existing,Email,Genesis,167.43,0.0,167.43,1,False,False,False
ORD0000065,2026-01-05,C000398,Pre-campaign,Existing,Email,Trail Accessories,0.0,31.1,31.1,1,True,True,False
ORD0000066,2026-01-05,C003521,Pre-campaign,New,Paid Social,Speedcross,139.12,0.0,139.12,1,True,True,False
ORD0000067,2026-01-05,C002073,Pre-campaign,Existing,Email,Trail Accessories,0.0,39.09,39.09,1,True,True,False
ORD0000068,2026-01-05,C003522,Pre-campaign,New,Organic,Trail Apparel,0.0,0.0,0.0,1,False,False,True
ORD0000069,2026-01-05,C002774,Pre-campaign,Existing,Email,Trail Apparel,0.0,107.09,107.09,1,False,False,False
ORD0000070,2026-01-05,C003523,Pre-campaign,New,Organic,Sense Ride,150.3,0.0,150.3,1,True,True,False
ORD0000071,2026-01-05,C001923,Pre-campaign,Existing,Organic,Sense Ride,129.4,0.0,129.4,1,False,True,False
ORD0000072,2026-01-05,C001303,Pre-campaign,Existing,Direct,Speedcross,0.0,0.0,0.0,1,False,False,True
ORD0000073,2026-01-05,C003270,Pre-campaign,Existing,Organic,Speedcross,153.73,0.0,153.73,1,True,False,False
ORD0000074,2026-01-06,C000461,Pre-campaign,Existing,Organic,Sense Ride,125.59,0.0,125.59,1,True,False,False
ORD0000075,2026-01-06,C003524,Pre-campaign,New,Paid Social,Sense Ride,0.0,64.39,64.39,2,True,False,True
ORD0000076,2026-01-06,C000639,Pre-campaign,Existing,SMS,Sense Ride,127.38,0.0,127.38,1,True,True,False
ORD0000077,2026-01-06,C001367,Pre-campaign,Existing,Paid Search,Trail Apparel,0.0,69.04,69.04,1,True,False,False
ORD0000078,2026-01-06,C002961,Pre-campaign,Existing,Affiliate,Sense Ride,0.0,0.0,0.0,1,True,False,True
ORD0000079,2026-01-06,C001067,Pre-campaign,Existing,Organic,Genesis,173.96,0.0,173.96,1,False,True,False
ORD0000080,2026-01-06,C003293,Pre-campaign,Existing,SMS,Genesis,163.14,0.0,163.14,1,False,False,False
ORD0000081,2026-01-06,C002411,Pre-campaign,Existing,SMS,Sense Ride,125.94,0.0,125.94,1,True,True,False
ORD0000082,2026-01-06,C003525,Pre-campaign,New,Direct,Speedcross,0.0,0.0,0.0,1,True,False,True
ORD0000083,2026-01-06,C001188,Pre-campaign,Existing,Affiliate,Trail Apparel,0.0,64.99,64.99,1,False,False,False
ORD0000084,2026-01-06,C000057,Pre-campaign,Existing,Direct,Sense Ride,141.34,0.0,141.34,1,True,False,False
ORD0000085,2026-01-06,C003526,Pre-campaign,New,SMS,Genesis,144.46,0.0,144.46,1,True,True,False
ORD0000086,2026-01-06,C000652,Pre-campaign,Existing,Affiliate,Sense Ride,141.8,37.07,178.87,2,True,False,False
ORD0000087,2026-01-06,C000787,Pre-campaign,Existing,Affiliate,Genesis,162.17,42.88,205.05,2,False,False,False
ORD0000088,2026-01-06,C002721,Pre-campaign,Existing,Direct,Trail Accessories,0.0,48.3,48.3,1,True,False,False
ORD0000089,2026-01-06,C001879,Pre-campaign,Existing,SMS,Sense Ride,140.46,0.0,140.46,1,True,False,False
ORD0000090,2026-01-06,C001675,Pre-campaign,Existing,Direct,Trail Accessories,0.0,37.57,37.57,1,True,False,False
ORD0000091,2026-01-06,C002233,Pre-campaign,Existing,Direct,Speedcross,0.0,57.83,57.83,2,False,False,True
ORD0000092,2026-01-06,C003527,Pre-campaign,New,Paid Search,Sense Ride,139.33,0.0,139.33,1,True,True,False
ORD0000093,2026-01-06,C000716,Pre-campaign,Existing,Paid Search,Sense Ride,125.51,0.0,125.51,1,True,False,False
ORD0000094,2026-01-06,C000593,Pre-campaign,Existing,Direct,Genesis,154.5,0.0,154.5,1,False,False,False
ORD0000095,2026-01-06,C002691,Pre-campaign,Existing,Affiliate,Trail Apparel,0.0,80.12,80.12,1,True,False,False
ORD0000096,2026-01-06,C003528,Pre-campaign,New,Paid Social,Speedcross,171.74,0.0,171.74,1,True,False,False
ORD0000097,2026-01-06,C000792,Pre-campaign,Existing,Paid Social,Genesis,167.66,0.0,167.66,1,True,False,False
ORD0000098,2026-01-06,C002564,Pre-campaign,Existing,Affiliate,Trail Accessories,0.0,44.43,44.43,1,False,False,False
ORD0000099,2026-01-06,C000386,Pre-campaign,Existing,Paid Search,Sense Ride,129.74,0.0,129.74,1,False,False,False
ORD0000100,2026-01-06,C003529,Pre-campaign,New,Paid Search,Sense Ride,147.25,0.0,147.25,1,False,False,False
ORD0000101,2026-01-06,C001694,Pre-campaign,Existing,Email,Sense Ride,137.0,0.0,137.0,1,True,False,False
ORD0000102,2026-01-06,C003530,Pre-campaign,New,Organic,Speedcross,155.07,0.0,155.07,1,True,False,False
ORD0000103,2026-01-06,C002694,Pre-campaign,Existing,Email,Genesis,160.65,45.27,205.92,2,True,True,False
ORD0000104,2026-01-06,C000591,Pre-campaign,Existing,Direct,Sense Ride,125.23,0.0,125.23,1,True,False,False
ORD0000105,2026-01-06,C002739,Pre-campaign,Existing,Organic,Sense Ride,139.34,46.16,185.5,2,False,False,False
ORD0000106,2026-01-06,C000799,Pre-campaign,Existing,Email,Trail Apparel,0.0,100.82,100.82,1,False,False,False
ORD0000107,2026-01-06,C001252,Pre-campaign,Existing,Paid Search,Trail Apparel,0.0,65.84,65.84,1,False,False,False
ORD0000108,2026-01-06,C001681,Pre-campaign,Existing,Email,Sense Ride,128.68,105.68,234.36,2,False,False,False
ORD0000109,2026-01-06,C003531,Pre-campaign,New,Paid Social,Speedcross,152.98,52.81,205.79,2,False,False,False
ORD0000110,2026-01-06,C003532,Pre-campaign,New,Paid Social,Genesis,149.98,0.0,149.98,1,False,False,False
ORD0000111,2026-01-06,C002004,Pre-campaign,Existing,Direct,Sense Ride,149.75,0.0,149.75,1,False,False,False
ORD0000112,2026-01-06,C003533,Pre-campaign,New,Paid Search,Speedcross,133.1,0.0,133.1,1,False,False,False
ORD0000113,2026-01-06,C003066,Pre-campaign,Existing,Affiliate,Genesis,142.29,87.73,230.02,2,True,False,False
ORD0000114,2026-01-06,C001562,Pre-campaign,Existing,Paid Search,Speedcross,148.11,0.0,148.11,1,False,True,False
ORD0000115,2026-01-06,C002660,Pre-campaign,Existing,Email,Sense Ride,118.06,111.16,229.22,2,True,False,False
ORD0000116,2026-01-06,C000266,Pre-campaign,Existing,Email,Trail Accessories,0.0,54.12,54.12,1,False,False,False
ORD0000117,2026-01-06,C002793,Pre-campaign,Existing,Paid Search,Genesis,0.0,0.0,0.0,1,True,True,True
ORD0000118,2026-01-06,C003534,Pre-campaign,New,Paid Social,Trail Accessories,0.0,29.18,29.18,1,True,True,False
ORD0000119,2026-01-06,C000893,Pre-campaign,Existing,Direct,Trail Accessories,0.0,48.4,48.4,1,False,False,False
ORD0000120,2026-01-06,C000913,Pre-campaign,Existing,Paid Social,Speedcross,153.77,0.0,153.77,1,False,False,False
ORD0000121,2026-01-06,C003047,Pre-campaign,Existing,Affiliate,Genesis,154.51,0.0,154.51,1,False,False,False
ORD0000122,2026-01-06,C002766,Pre-campaign,Existing,Paid Search,Sense Ride,0.0,0.0,0.0,1,True,False,True
ORD0000123,2026-01-06,C002531,Pre-campaign,Existing,Email,Speedcross,158.3,0.0,158.3,1,True,True,False
ORD0000124,2026-01-06,C000100,Pre-campaign,Existing,Email,Speedcross,150.47,0.0,150.47,1,False,False,False
ORD0000125,2026-01-06,C003535,Pre-campaign,New,Paid Search,Sense Ride,129.98,0.0,129.98,1,True,False,False
ORD0000126,2026-01-06,C002946,Pre-campaign,Existing,Direct,Speedcross,148.38,0.0,148.38,1,False,True,False
ORD0000127,2026-01-06,C003536,Pre-campaign,New,Paid Search,Sense Ride,139.92,0.0,139.92,1,True,False,False
ORD0000128,2026-01-06,C003098,Pre-campaign,Existing,Direct,Sense Ride,0.0,0.0,0.0,1,True,False,True
ORD0000129,2026-01-06,C001470,Pre-campaign,Existing,Organic,Trail Apparel,0.0,67.3,67.3,1,False,False,False
ORD0000130,2026-01-06,C001331,Pre-campaign,Existing,Email,Sense Ride,126.53,0.0,126.53,1,True,False,False
ORD0000131,2026-01-06,C003537,Pre-campaign,New,Organic,Genesis,158.15,0.0,158.15,1,False,True,False
ORD0000132,2026-01-06,C001815,Pre-campaign,Existing,Organic,Trail Accessories,0.0,46.18,46.18,1,False,False,False
ORD0000133,2026-01-06,C000132,Pre-campaign,Existing,Direct,Trail Apparel,0.0,72.2,72.2,1,True,False,False
ORD0000134,2026-01-06,C000028,Pre-campaign,Existing,Email,Genesis,0.0,0.0,0.0,1,False,False,True
ORD0000135,2026-01-06,C003538,Pre-campaign,New,Affiliate,Sense Ride,129.74,0.0,129.74,1,False,False,False
ORD0000136,2026-01-06,C003539,Pre-campaign,New,Organic,Genesis,173.01,0.0,173.01,1,False,False,False
ORD0000137,2026-01-06,C003540,Pre-campaign,New,Paid Search,Speedcross,152.05,60.11,212.16,2,True,False,False
ORD0000138,2026-01-06,C003541,Pre-campaign,New,Paid Search,Speedcross,144.68,0.0,144.68,1,True,False,False
ORD0000139,2026-01-06,C000856,Pre-campaign,Existing,Email,Sense Ride,136.94,0.0,136.94,1,True,False,False
ORD0000140,2026-01-06,C001794,Pre-campaign,Existing,Direct,Trail Accessories,0.0,57.37,57.37,1,True,False,False
ORD0000141,2026-01-06,C002679,Pre-campaign,Existing,Paid Social,Trail Apparel,0.0,41.37,41.37,1,False,False,False
ORD0000142,2026-01-06,C000728,Pre-campaign,Existing,Paid Social,Genesis,157.76,66.79,224.55,2,True,True,False
ORD0000143,2026-01-06,C003542,Pre-campaign,New,Paid Search,Speedcross,151.63,0.0,151.63,1,True,False,False
ORD0000144,2026-01-06,C003543,Pre-campaign,New,Organic,Genesis,168.05,0.0,168.05,1,True,False,False
ORD0000145,2026-01-06,C000136,Pre-campaign,Existing,Organic,Sense Ride,137.06,0.0,137.06,1,False,True,False
ORD0000146,2026-01-06,C001261,Pre-campaign,Existing,Paid Search,Speedcross,138.26,0.0,138.26,1,True,True,False
ORD0000147,2026-01-06,C000106,Pre-campaign,Existing,Direct,Sense Ride,143.63,56.04,199.67,2,True,False,False
ORD0000148,2026-01-06,C003293,Pre-campaign,Existing,Email,Speedcross,142.47,0.0,142.47,1,False,False,False
ORD0000149,2026-01-06,C003426,Pre-campaign,Existing,Direct,Speedcross,136.79,0.0,136.79,1,False,False,False
ORD0000150,2026-01-06,C002746,Pre-campaign,Existing,Email,Sense Ride,149.82,26.92,176.74,2,True,False,False
ORD0000151,2026-01-06,C001465,Pre-campaign,Existing,Email,Sense Ride,133.24,0.0,133.24,1,False,False,False
ORD0000152,2026-01-06,C002887,Pre-campaign,Existing,Direct,Sense Ride,133.94,0.0,133.94,1,True,False,False
ORD0000153,2026-01-06,C003544,Pre-campaign,New,Paid Social,Sense Ride,136.0,0.0,136.0,1,False,False,False
ORD0000154,2026-01-06,C003545,Pre-campaign,New,Paid Search,Trail Accessories,0.0,42.49,42.49,1,False,True,False
ORD0000155,2026-01-06,C000037,Pre-campaign,Existing,Direct,Trail Apparel,0.0,84.15,84.15,1,False,False,False
ORD0000156,2026-01-06,C000383,Pre-campaign,Existing,Direct,Sense Ride,145.26,0.0,145.26,1,True,True,False
ORD0000157,2026-01-06,C000404,Pre-campaign,Existing,Paid Search,Genesis,168.49,0.0,168.49,1,True,False,False
ORD0000158,2026-01-06,C000799,Pre-campaign,Existing,Direct,Speedcross,159.3,0.0,159.3,1,True,False,False
ORD0000159,2026-01-06,C003016,Pre-campaign,Existing,Affiliate,Sense Ride,147.22,0.0,147.22,1,False,False,False
ORD0000160,2026-01-06,C000287,Pre-campaign,Existing,Direct,Trail Apparel,0.0,43.26,43.26,1,True,False,False
ORD0000161,2026-01-07,C001477,Pre-campaign,Existing,Direct,Genesis,156.59,36.59,193.18,2,True,False,False
ORD0000162,2026-01-07,C002363,Pre-campaign,Existing,Organic,Trail Apparel,0.0,60.87,60.87,1,True,False,False
ORD0000163,2026-01-07,C003546,Pre-campaign,New,Direct,Speedcross,149.46,0.0,149.46,1,False,True,False
ORD0000164,2026-01-07,C000319,Pre-campaign,Existing,Organic,Trail Apparel,0.0,63.24,63.24,1,True,True,False
ORD0000165,2026-01-07,C002546,Pre-campaign,Existing,Affiliate,Speedcross,155.83,0.0,155.83,1,True,True,False
ORD0000166,2026-01-07,C001422,Pre-campaign,Existing,Direct,Genesis,0.0,0.0,0.0,1,True,False,True
ORD0000167,2026-01-07,C003547,Pre-campaign,New,Paid Search,Speedcross,156.95,0.0,156.95,1,True,False,False
ORD0000168,2026-01-07,C003519,Pre-campaign,Existing,Affiliate,Speedcross,143.96,0.0,143.96,1,False,True,False
ORD0000169,2026-01-07,C003548,Pre-campaign,New,Paid Social,Sense Ride,126.92,0.0,126.92,1,True,True,False
ORD0000170,2026-01-07,C003549,Pre-campaign,New,Paid Social,Speedcross,154.56,0.0,154.56,1,True,False,False
ORD0000171,2026-01-07,C003550,Pre-campaign,New,Paid Social,Trail Apparel,0.0,66.88,66.88,1,False,False,False
ORD0000172,2026-01-07,C003060,Pre-campaign,Existing,Paid Social,Speedcross,122.28,0.0,122.28,1,True,False,False
ORD0000173,2026-01-07,C003119,Pre-campaign,Existing,Direct,Genesis,186.27,0.0,186.27,1,True,True,False
ORD0000174,2026-01-07,C002870,Pre-campaign,Existing,Paid Search,Sense Ride,0.0,53.02,53.02,2,False,True,True
ORD0000175,2026-01-07,C003109,Pre-campaign,Existing,Email,Speedcross,142.24,0.0,142.24,1,False,True,False
ORD0000176,2026-01-07,C003551,Pre-campaign,New,Paid Social,Speedcross,150.43,0.0,150.43,1,False,False,False
ORD0000177,2026-01-07,C002963,Pre-campaign,Existing,Email,Genesis,144.27,0.0,144.27,1,False,False,False
ORD0000178,2026-01-07,C003552,Pre-campaign,New,Affiliate,Trail Apparel,0.0,93.73,93.73,1,True,False,False
ORD0000179,2026-01-07,C002773,Pre-campaign,Existing,Organic,Genesis,144.93,0.0,144.93,1,True,True,False
ORD0000180,2026-01-07,C000843,Pre-campaign,Existing,Email,Sense Ride,128.26,53.21,181.47,2,True,False,False
ORD0000181,2026-01-07,C003553,Pre-campaign,New,Paid Social,Trail Apparel,0.0,64.0,64.0,1,True,False,False
ORD0000182,2026-01-07,C000050,Pre-campaign,Existing,Paid Social,Speedcross,166.89,0.0,166.89,1,False,False,False
ORD0000183,2026-01-07,C003554,Pre-campaign,New,Paid Social,Genesis,149.57,0.0,149.57,1,True,True,False
ORD0000184,2026-01-07,C000431,Pre-campaign,Existing,Direct,Speedcross,147.8,0.0,147.8,1,False,False,False
ORD0000185,2026-01-07,C000180,Pre-campaign,Existing,Email,Trail Accessories,0.0,54.51,54.51,1,False,True,False
ORD0000186,2026-01-07,C003421,Pre-campaign,Existing,Organic,Trail Apparel,0.0,123.95,123.95,1,False,False,False
ORD0000187,2026-01-07,C003555,Pre-campaign,New,Paid Social,Trail Accessories,0.0,36.0,36.0,1,True,False,False
ORD0000188,2026-01-07,C000071,Pre-campaign,Existing,Email,Genesis,157.48,0.0,157.48,1,False,False,False
ORD0000189,2026-01-07,C000153,Pre-campaign,Existing,Organic,Sense Ride,137.03,50.48,187.51,2,True,False,False
ORD0000190,2026-01-07,C002836,Pre-campaign,Existing,Organic,Speedcross,133.53,0.0,133.53,1,False,False,False
ORD0000191,2026-01-07,C001251,Pre-campaign,Existing,Paid Search,Genesis,143.61,0.0,143.61,1,True,False,False
ORD0000192,2026-01-07,C001474,Pre-campaign,Existing,Organic,Trail Apparel,0.0,115.41,115.41,1,True,False,False
ORD0000193,2026-01-07,C000583,Pre-campaign,Existing,Affiliate,Sense Ride,133.51,0.0,133.51,1,True,False,False
ORD0000194,2026-01-07,C000656,Pre-campaign,Existing,Paid Search,Trail Accessories,0.0,67.67,67.67,1,False,True,False
ORD0000195,2026-01-07,C002878,Pre-campaign,Existing,Direct,Trail Apparel,0.0,53.3,53.3,1,True,False,False
ORD0000196,2026-01-07,C003556,Pre-campaign,New,Email,Speedcross,143.1,0.0,143.1,1,True,False,False
ORD0000197,2026-01-07,C002825,Pre-campaign,Existing,Paid Search,Trail Accessories,0.0,41.1,41.1,1,True,False,False
ORD0000198,2026-01-07,C001745,Pre-campaign,Existing,Organic,Speedcross,169.93,0.0,169.93,1,False,False,False
ORD0000199,2026-01-07,C002347,Pre-campaign,Existing,Organic,Genesis,153.45,0.0,153.45,1,True,False,False
ORD0000200,2026-01-07,C003557,Pre-campaign,New,Email,Speedcross,155.53,0.0,155.53,1,False,False,False
ORD0000201,2026-01-07,C002959,Pre-campaign,Existing,Paid Search,Sense Ride,140.19,0.0,140.19,1,True,True,False
ORD0000202,2026-01-07,C000768,Pre-campaign,Existing,Paid Search,Sense Ride,147.25,0.0,147.25,1,True,False,False
ORD0000203,2026-01-07,C002939,Pre-campaign,Existing,Direct,Trail Apparel,0.0,47.31,47.31,1,True,False,False
ORD0000204,2026-01-07,C001871,Pre-campaign,Existing,Email,Genesis,157.21,0.0,157.21,1,True,True,False
ORD0000205,2026-01-07,C003558,Pre-campaign,New,Paid Social,Speedcross,147.44,0.0,147.44,1,True,False,False
ORD0000206,2026-01-07,C003452,Pre-campaign,Existing,Email,Sense Ride,137.83,0.0,137.83,1,True,True,False
ORD0000207,2026-01-07,C000494,Pre-campaign,Existing,Paid Search,Sense Ride,123.33,0.0,123.33,1,False,False,False
ORD0000208,2026-01-07,C003400,Pre-campaign,Existing,Email,Speedcross,134.97,0.0,134.97,1,True,False,False
ORD0000209,2026-01-07,C003559,Pre-campaign,New,Paid Social,Sense Ride,138.89,0.0,138.89,1,True,False,False
ORD0000210,2026-01-07,C000575,Pre-campaign,Existing,Organic,Sense Ride,0.0,0.0,0.0,1,True,True,True
ORD0000211,2026-01-07,C003455,Pre-campaign,Existing,Direct,Trail Apparel,0.0,82.76,82.76,1,True,True,False
ORD0000212,2026-01-07,C003560,Pre-campaign,New,Paid Social,Trail Accessories,0.0,54.5,54.5,1,True,False,False
ORD0000213,2026-01-07,C003283,Pre-campaign,Existing,Organic,Sense Ride,132.17,42.34,174.51,2,True,True,False
ORD0000214,2026-01-07,C000823,Pre-campaign,Existing,Organic,Speedcross,146.96,117.64,264.6,2,False,False,False
ORD0000215,2026-01-07,C002743,Pre-campaign,Existing,Direct,Sense Ride,141.08,0.0,141.08,1,True,True,False
ORD0000216,2026-01-07,C002044,Pre-campaign,Existing,Paid Search,Sense Ride,130.1,57.68,187.78,2,True,False,False
ORD0000217,2026-01-07,C001126,Pre-campaign,Existing,Email,Sense Ride,143.8,0.0,143.8,1,False,False,False
ORD0000218,2026-01-07,C000418,Pre-campaign,Existing,Email,Sense Ride,126.58,0.0,126.58,1,True,False,False
ORD0000219,2026-01-07,C000592,Pre-campaign,Existing,Organic,Sense Ride,0.0,0.0,0.0,1,True,False,True
ORD0000220,2026-01-07,C001492,Pre-campaign,Existing,Paid Search,Speedcross,145.7,0.0,145.7,1,False,False,False
ORD0000221,2026-01-07,C003349,Pre-campaign,Existing,Email,Sense Ride,135.12,55.21,190.33,2,False,False,False
ORD0000222,2026-01-07,C003561,Pre-campaign,New,Paid Search,Genesis,168.12,0.0,168.12,1,True,True,False
ORD0000223,2026-01-07,C001427,Pre-campaign,Existing,Paid Search,Trail Accessories,0.0,65.4,65.4,1,True,False,False
ORD0000224,2026-01-07,C002276,Pre-campaign,Existing,Email,Genesis,160.91,0.0,160.91,1,True,False,False
ORD0000225,2026-01-07,C003562,Pre-campaign,New,Paid Search,Genesis,169.13,0.0,169.13,1,True,True,False
ORD0000226,2026-01-07,C001567,Pre-campaign,Existing,Direct,Trail Apparel,0.0,80.87,80.87,1,True,False,False
ORD0000227,2026-01-07,C003563,Pre-campaign,New,Paid Search,Speedcross,152.13,0.0,152.13,1,True,True,False
ORD0000228,2026-01-07,C001989,Pre-campaign,Existing,Email,Trail Apparel,0.0,102.41,102.41,1,True,False,False
